Symbol,Security,Sector,Headquarters
MMM,3M,Industrials,"Saint Paul, Minnesota"
ABT,Abbott Laboratories,Health Care,"North Chicago, Illinois"
ABBV,AbbVie,Health Care,"North Chicago, Illinois"
ABMD,Abiomed,Health Care,"Danvers, Massachusetts"
ACN,Accenture,Information Technology,"Dublin, Ireland"
ATVI,Activision Blizzard,Communication Services,"Santa Monica, California"
ADBE,Adobe,Information Technology,"San Jose, California"
AMD,Advanced Micro Devices,Information Technology,"Santa Clara, California"
AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina"
AES,AES Corp,Utilities,"Arlington, Virginia"
AFL,Aflac,Financials,"Columbus, Georgia"
A,Agilent Technologies,Health Care,"Santa Clara, California"
APD,Air Products & Chemicals,Materials,"Allentown, Pennsylvania"
AKAM,Akamai Technologies,Information Technology,"Cambridge, Massachusetts"
ALK,Alaska Air Group,Industrials,"Seattle, Washington"
ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina"
ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California"
ALGN,Align Technology,Health Care,"San Jose, California"
ALLE,Allegion,Industrials,"New York City, New York"
LNT,Alliant Energy,Utilities,"Madison, Wisconsin"
ALL,Allstate Corp,Financials,"Northfield Township, Illinois"
GOOGL,Alphabet (Class A),Communication Services,"Mountain View, California"
GOOG,Alphabet (Class C),Communication Services,"Mountain View, California"
MO,Altria Group,Consumer Staples,"Richmond, Virginia"
AMZN,Amazon,Consumer Discretionary,"Seattle, Washington"
AMCR,Amcor,Materials,"Zurich, Switzerland"
AEE,Ameren Corp,Utilities,"St. Louis, Missouri"
AAL,American Airlines Group,Industrials,"Fort Worth, Texas"
AEP,American Electric Power,Utilities,"Columbus, Ohio"
AXP,American Express,Financials,"New York City, New York"
AIG,American International Group,Financials,"New York City, New York"
AMT,American Tower,Real Estate,"Boston, Massachusetts"
AWK,American Water Works,Utilities,"Camden, New Jersey"
AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota"
ABC,AmerisourceBergen,Health Care,"Chesterbrook, Pennsylvania"
AME,Ametek,Industrials,"Berwyn, Pennsylvania"
AMGN,Amgen,Health Care,"Thousand Oaks, California"
APH,Amphenol,Information Technology,"Wallingford, Connecticut"
ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts"
ANSS,Ansys,Information Technology,"Canonsburg, Pennsylvania"
