Symbol,Company,Sector,MarketCap,Payout Ratio,RevenueGrowth,OperatingMargin,BookValue,FreeCashFlow,TrailingPE,ForwardPE,EPS,ROE,ProfitMargin,DebttoEquity,revenue,gross_profits,ebitda,net_income,eps_forward,eps_growth,dividend_yield,dividend_rate,target_mean_price,target_high_price,target_low_price,Fair Value (Trailing),Fair Value (Forward),Last Open,Last Close,52W High,52W Low,MA10,MA14,MA20,MA30,MA50,MA60,MA75,MA100,MA150,MA200,MA250
A,"Agilent Technologies, Inc.",Healthcare,43763957760,0.22,0.09,0.24,23.82,923374976,33.78,27.32,4.57,0.21,0.19,49.76,6947999744,3643000064,1767000064,1303000064,5.65,0.25,0.66,1.02,167.57,185,151,154.37,154.37,155.74,154.37,152.88,96.03,148.79,148.71,147.84,146.85,141.28,138.78,135.13,130.51,124.79,123.18,126.69
AAPL,Apple Inc.,Technology,4.11895E+12,0.14,0.08,0.32,4.99,78862254080,37.16,33.4,7.47,1.71,0.27,152.41,4.16161E+11,1.95201E+11,1.44748E+11,1.1201E+11,8.31,0.91,0.37,1.04,281.75,345,215,277.55,277.55,276.96,277.55,277.32,168.8,271.7,271.67,271.13,267.77,261.63,257.26,251.87,242.02,229.14,226.55,229.08
ABBV,AbbVie Inc.,Healthcare,4.02363E+11,4.9,0.09,0.35,-1.5,20799000576,172.47,18.77,1.32,1.38,0.04,,59643998208,42622001152,29518999552,2348000000,12.13,-0.89,3.04,6.92,243.55,289,184,227.66,227.66,232.04,227.66,243.06,158.28,232.01,229.74,226.31,227.06,226.81,224.59,220.99,213.43,203.82,201.24,195.58
ABNB,"Airbnb, Inc.",Consumer Cyclical,71472390144,0,0.1,0.4,14.16,3233625088,27.8,25.94,4.2,0.31,0.22,26.46,11943000064,9916999680,2760999936,2631000064,4.5,0.04,,,138.94,180,102,116.74,116.74,117.99,116.74,163.93,99.88,116.62,117.96,119.83,122.25,122.21,122.37,123.3,125.94,127.89,128.04,129.07
ABT,Abbott Laboratories,Healthcare,2.23719E+11,0.29,0.07,0.19,29.3,6067874816,16.15,24.91,7.96,0.31,0.32,25.31,43842998272,24665999360,11747000320,13925999616,5.16,0,1.84,2.36,144.43,162,122,128.54,128.54,128.08,128.54,139.33,109.21,128.19,127.85,126.87,127,129.43,129.83,130.03,129.59,130.43,130.1,127.37
ACGL,Arch Capital Group Ltd.,Financial Services,35231993856,0,0.08,0.31,62.58,6687499776,8.85,10.44,10.67,0.18,0.21,11.5,19542999040,6965000192,5011999744,4056000000,9.04,0.39,,,108.39,135,84,94.4,94.4,93.65,94.4,101.66,82.45,92.43,91.87,90.39,89.14,89.73,89.84,90.21,89.72,90.54,90.84,91.4
ACN,Accenture plc,Technology,1.54374E+11,0.49,0.07,0.15,50.16,10477106176,20.42,17.62,12.14,0.26,0.11,25.38,69672976384,22235400192,12222531584,7678432768,14.07,-0.15,2.63,6.52,277.08,330,205,247.85,247.85,250.28,247.85,394.41,229.4,244.85,244.85,245.39,245.71,244.73,244.89,246.68,252.51,270.86,283.43,298.61
ADBE,Adobe Inc.,Technology,1.34692E+11,0,0.11,0.36,28.02,8503625216,19.81,15.45,16.03,0.53,0.3,56.54,23181000704,20662999040,9059999744,6957000192,20.55,0.11,,,450.32,605,280,317.52,317.52,319.2,317.52,557.9,323.03,322.47,325.06,328.3,334.89,341.32,343.07,345.4,348.78,364.29,373.57,390.43
ADI,"Analog Devices, Inc.",Technology,1.26292E+11,0.85,0.26,0.31,69.06,3904020224,56.44,34.21,4.57,0.07,0.21,26.5,11019707392,6773477888,4994371072,2267342080,7.54,0.66,1.54,3.96,280.31,330,192,257.92,257.92,255.22,257.92,257.11,157.31,237.16,236.21,235.29,237.4,239.06,240.32,241.1,238.64,232.3,225.12,222.46
ADM,Archer-Daniels-Midland Company,Consumer Defensive,29098496000,0.83,0.02,0.02,46.86,2467624960,24.61,11.94,2.46,0.05,0.01,40.47,83211001856,5177999872,2519000064,1188999936,5.07,4.89,3.37,2.04,57.6,70,50,60.55,60.55,59.55,60.55,65,40.22,58.89,58.24,58.34,59.48,59.93,60.15,60.28,58.81,55.57,53.07,52.22
ADP,"Automatic Data Processing, Inc.",Technology,1.03026E+11,0.61,0.07,0.26,15.74,4415287296,25.13,23.4,10.12,0.71,0.2,154.92,20903399424,10097699840,6093100032,4136399872,10.87,0.06,2.67,6.8,293.23,332,245,254.33,254.33,256.98,254.33,326.59,249.68,252.16,252.83,254.49,262.87,273.65,276.97,282.01,287.09,294.38,295.14,294.76
ADSK,"Autodesk, Inc.",Technology,64478609408,0,0.18,0.26,13.58,2561250048,58.52,32.83,5.15,0.4,0.16,94.5,6888000000,6345999872,1784999936,1111000064,9.18,0.26,,,365.14,430,275,301.38,301.38,313.97,301.38,329.09,232.67,293.54,295.35,296.86,300.39,307.02,309.59,306.27,303.84,300.99,292.69,294.07
AEE,Ameren Corporation,Utilities,28677869568,0.54,0.25,0.34,47.25,-2117750016,20.43,21.55,5.19,0.11,0.16,155.74,8634999808,4067000064,3544999936,1411000064,4.92,0.38,2.68,2.84,112.57,125,98,106.02,106.02,105.41,106.02,106.73,84.2,104.68,104.76,103.91,104.13,103.53,102.89,102.34,101.46,99.47,98.85,97.04
AEP,"American Electric Power Company, Inc.",Utilities,65687793664,0.54,0.11,0.26,56.79,-4280337408,17.94,20.84,6.84,0.13,0.17,152.13,21257000960,10293000192,8757300224,3662099968,5.89,0.01,3.1,3.8,128.56,139,114,122.72,122.72,121.8,122.72,122.85,87.57,121.98,122.02,121.21,119.61,116.55,115.03,114.29,112.71,109.01,107.4,104.42
AES,The AES Corporation,Utilities,9905602560,0.46,0.02,0.21,5.43,-3689874944,9.15,6.85,1.52,0.05,0.09,302.9,12094000128,2088000000,3206000128,1079000064,2.03,0.25,5.06,0.7,15.29,24,8.5,13.91,13.91,13.86,13.91,15.32,9.16,13.78,13.89,13.88,14.01,13.9,13.69,13.57,13.41,12.43,12.02,11.93
AFL,Aflac Incorporated,Financial Services,59125620736,0.29,0.61,0.43,54.57,6489999872,14.53,15.42,7.61,0.16,0.24,50,17700999168,8527000064,5358000128,4168999936,7.17,,2.21,2.44,111.38,127,100,110.55,110.55,111.46,110.55,114.78,96.14,111.45,112.02,110.98,109.6,109.73,109.32,108.67,106.61,105.41,105.38,104.85
AIG,"American International Group, Inc.",Financial Services,42126450688,0.31,-0.04,0.15,75.46,9084624896,13.68,11.33,5.56,0.08,0.12,22.48,27120001024,9223999488,8314999808,3304999936,6.71,0.32,2.37,1.8,88.05,97,79,76.04,76.04,75.44,76.04,87.1,68.15,76.32,76.51,77.03,77.45,78.46,78.39,78.93,79,80.33,80.29,78.72
AIZ,"Assurant, Inc.",Financial Services,11530939392,0.2,0.09,0.11,114.72,988275008,13.93,12.75,16.41,0.15,0.07,38.32,12568699904,1444300032,1410700032,848800000,17.92,1.03,1.54,3.52,253.67,265,246,228.52,228.52,228.61,228.52,227.13,173.64,226.66,226.36,222.75,218.45,217.54,216.44,215.9,209.5,205.11,203.95,205.49
AJG,Arthur J. Gallagher & Co.,Financial Services,63821176832,0.41,0.2,0.17,90.36,820150016,39.7,22.03,6.26,0.09,0.13,58.98,12078600192,5266400256,3440999936,1601200000,11.28,-0.25,1.05,2.6,311.75,388,250,248.52,248.52,250.57,248.52,349.78,239.47,252.76,252.82,251.95,260.42,277.87,280.91,284.52,288.49,301.36,308.35,305.2
AKAM,"Akamai Technologies, Inc.",Technology,12868744192,0,0.05,0.16,32.91,565246016,26.23,13.39,3.41,0.11,0.12,110.55,4133201920,2443834112,1173728000,506864000,6.68,1.55,,,96.09,134,66,89.45,89.45,90.61,89.45,103.75,67.51,88.26,88.16,83.78,80.68,78.78,78.55,78.17,77.89,78.2,78.95,82.48
