Symbol,Name,Market Cap,Country,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,54909610,China,10120,Miscellaneous,Service to the Health Industry
AADI,Aadi Bioscience Inc. Common Stock,478682204,United States,277924,Health Care,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group Inc. Common Stock,12600632598,United States,21274048,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,81722165,United States,4706,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,164604811,United States,334141,Technology,Semiconductors
AAON,AAON Inc. Common Stock,4127658802,United States,184640,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,2.81E+12,United States,69395360,Technology,Computer Manufacturing
AATC,Autoscope Technologies Corporation Common Stock,37358941,United States,8077,Capital Goods,Industrial Machinery/Components
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,2733884446,United States,240415,Transportation,Transportation Services
ABCB,Ameris Bancorp Common Stock,3704592161,United States,350403,Finance,Major Banks
ABCM,Abcam plc American Depositary Shares,5174930221,United Kingdom,287422,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,77151861,United States,233201,Health Care,Biotechnology: Pharmaceutical Preparations
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,188879014,United States,162,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,34728445,United States,582423,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,ABIOMED Inc. Common Stock,15368142172,United States,124672,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,1.07E+11,United States,4760122,Capital Goods,Industrial Machinery/Components
ABOS,Acumen Pharmaceuticals Inc. Common Stock,364232907,United States,69216,Health Care,Biotechnology: Pharmaceutical Preparations
ABSI,Absci Corporation Common Stock,1040728145,United States,128264,Health Care,Biotechnology: Pharmaceutical Preparations
ABTX,Allegiance Bancshares Inc. Common Stock,904657406,United States,63599,Finance,Major Banks
ABVC,ABVC BioPharma Inc. Common Stock,90405666,United States,172127,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,3179753106,United States,676954,Health Care,Biotechnology: Pharmaceutical Preparations
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,61024320,Hong Kong,102,Miscellaneous,Business Services
ACBI,Atlantic Capital Bancshares Inc. Common Stock,596146638,United States,68710,Finance,Major Banks
ACER,Acer Therapeutics Inc. Common Stock (DE),32341151,United States,87948,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,192959806,United States,126558,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,286062500,United States,93928,Technology,Semiconductors
