Symbol,Company,MarketCap,TrailingPE,ForwardPE,EPS,DebtToEquity,,,,,,,,,,,
A,"Agilent Technologies, Inc.",41.60B,34.285046,25.971682,4.28,56.421,,,,,,,,,,,
AAPL,Apple Inc.,3.97T,35.987934,32.306858,7.46,152.411,,,,,,,,,,,
ABBV,AbbVie Inc.,387.34B,167.29771,18.0676,1.31,,,,,,,,,,,,
ABNB,"Airbnb, Inc.",73.30B,28.849642,26.86222,4.19,26.458,,,,,,,,,,,
ABT,Abbott Laboratories,219.72B,15.874372,24.488373,7.96,25.31,,,,,,,,,,,
ACGL,Arch Capital Group Ltd.,32.48B,8.394564,9.908186,10.67,11.501,,,,,,,,,,,
ACN,Accenture plc,152.41B,20.24382,17.466951,12.14,25.38,,,,,,,,,,,
ADBE,Adobe Inc.,136.86B,20.370718,15.909977,16.05,56.542,,,,,,,,,,,
ADI,"Analog Devices, Inc.",112.40B,58.1374,30.302387,3.93,25.541,,,,,,,,,,,
ADM,Archer-Daniels-Midland Company,27.38B,24.773912,11.238658,2.3,40.467,,,,,,,,,,,
ADP,"Automatic Data Processing, Inc.",102.79B,25.065088,23.381784,10.14,154.917,,,,,,,,,,,
ADSK,"Autodesk, Inc.",63.30B,61.783783,32.372547,4.81,100.7,,,,,,,,,,,
AEE,Ameren Corporation,28.31B,20.125002,21.270325,5.2,155.736,,,,,,,,,,,
AEP,"American Electric Power Company, Inc.",65.00B,17.804985,20.616299,6.82,152.132,,,,,,,,,,,
AES,The AES Corporation,10.06B,9.296053,6.9605913,1.52,302.896,,,,,,,,,,,
AFL,Aflac Incorporated,59.80B,14.992115,15.912133,7.61,50.003,,,,,,,,,,,
AIG,"American International Group, Inc.",41.51B,13.836331,11.464977,5.56,22.48,,,,,,,,,,,
AIZ,"Assurant, Inc.",11.23B,13.661389,12.517858,16.42,38.316,,,,,,,,,,,
AJG,Arthur J. Gallagher & Co.,64.20B,40.0016,22.164007,6.25,58.895,,,,,,,,,,,
AKAM,"Akamai Technologies, Inc.",12.06B,24.557184,12.535928,3.41,110.548,,,,,,,,,,,
ALB,Albemarle Corporation,11.44B,,52.815216,-1.59,36.655,,,,,,,,,,,
ALGN,"Align Technology, Inc.",9.67B,26.131783,13.1423,5.16,3.064,,,,,,,,,,,
ALL,The Allstate Corporation,52.94B,6.557212,10.630057,30.85,29.426,,,,,,,,,,,
ALLE,Allegion plc,14.40B,22.614866,21.482672,7.4,116.084,,,,,,,,,,,
AMAT,"Applied Materials, Inc.",183.28B,27.487457,23.743036,8.37,34.67,,,,,,,,,,,
AMCR,Amcor plc,19.32B,27.899998,10.594936,0.3,126.377,,,,,,,,,,,
AMD,"Advanced Micro Devices, Inc.",380.21B,121.635414,45.792156,1.92,6.366,,,,,,,,,,,
AME,"AMETEK, Inc.",45.19B,30.960566,26.88904,6.34,26.09,,,,,,,,,,,
AMGN,Amgen Inc.,172.42B,24.744978,15.491051,12.94,567.491,,,,,,,,,,,
AMP,"Ameriprise Financial, Inc.",42.87B,12.690594,11.944861,36.36,54.222,,,,,,,,,,,
AMT,American Tower Corporation,83.31B,28.426516,26.207659,6.26,418.09,,,,,,,,,,,
AMZN,"Amazon.com, Inc.",2.61T,34.472496,39.741463,7.09,43.405,,,,,,,,,,,
ANET,Arista Networks Inc,169.56B,51.197716,13.838643,2.63,,,,,,,,,,,,
AON,Aon plc,74.44B,27.7056,19.914894,12.5,214.88,,,,,,,,,,,
AOS,A. O. Smith Corporation,9.23B,17.859838,16.280098,3.71,12.063,,,,,,,,,,,
APA,APA Corporation,8.45B,5.7009573,8.665455,4.18,65.394,,,,,,,,,,,
APD,"Air Products and Chemicals, Inc.",57.81B,,18.330275,-1.74,105.56,,,,,,,,,,,
APH,Amphenol Corporation,170.25B,46.36333,64.39352,3,63.99,,,,,,,,,,,
APO,"Apollo Global Management, Inc.",76.83B,24.695894,15.60967,5.36,39.538,,,,,,,,,,,
APP,AppLovin Corporation,209.51B,73.018845,120.14147,8.49,238.274,,,,,,,,,,,
APTV,Aptiv PLC,18.08B,63.378788,11.985674,1.32,85.425,,,,,,,,,,,
ARE,"Alexandria Real Estate Equities, Inc.",9.61B,,16.165697,-2.47,66.083,,,,,,,,,,,
ATO,Atmos Energy Corporation,28.40B,24.435083,24.777311,7.24,67.241,,,,,,,,,,,
AVB,"AvalonBay Communities, Inc.",25.12B,21.658121,32.01805,8.19,71.748,,,,,,,,,,,
AVGO,Broadcom Inc.,1.65T,89.368286,56.63371,3.91,166.032,,,,,,,,,,,
AVY,Avery Dennison Corporation,13.45B,19.758228,16.546577,8.81,171.013,,,,,,,,,,,
AWK,"American Water Works Company, Inc.",25.53B,22.994726,22.954386,5.69,140.983,,,,,,,,,,,
AXON,"Axon Enterprise, Inc.",47.54B,192.49521,97.17904,3.13,69.33,,,,,,,,,,,
AXP,American Express Company,253.87B,24.75084,24.37434,14.89,185.273,,,,,,,,,,,
AZO,"AutoZone, Inc.",61.84B,25.641405,21.330082,145.01,,,,,,,,,,,,
BA,The Boeing Company,147.92B,,414.06384,-13.7,,,,,,,,,,,,
BAC,Bank of America Corporation,388.49B,14.535519,14.535519,3.66,,,,,,,,,,,,
BALL,Ball Corporation,13.13B,19.058367,13.875354,2.57,138.426,,,,,,,,,,,
BAX,Baxter International Inc.,9.25B,,6.2499995,-0.7,134.627,,,,,,,,,,,
BBY,"Best Buy Co., Inc.",16.60B,21.771349,11.554093,3.63,150.074,,,,,,,,,,,
BDX,"Becton, Dickinson and Company",50.97B,32.452553,11.305785,5.48,75.545,,,,,,,,,,,
BEN,"Franklin Resources, Inc.",11.58B,43.588234,8.55,0.51,26.57,,,,,,,,,,,
BG,Bunge Global SA,18.32B,10.666667,10.184946,8.88,102.816,,,,,,,,,,,
BIIB,Biogen Inc.,22.81B,14.1888685,9.334333,10.96,36.194,,,,,,,,,,,
BK,The Bank of New York Mellon Corporation,76.46B,15.821068,16.7902,6.93,,,,,,,,,,,,
BKNG,Booking Holdings Inc.,159.24B,32.155178,23.540623,153.63,,,,,,,,,,,,
BKR,Baker Hughes Company,47.24B,16.506895,18.62646,2.9,33.042,,,,,,,,,,,
BLDR,"Builders FirstSource, Inc.",12.10B,20.762808,9.392275,5.27,117.723,,,,,,,,,,,
BLK,"BlackRock, Inc.",167.90B,27.855856,22.040733,38.85,24.32,,,,,,,,,,,
BMY,Bristol-Myers Squibb Company,95.05B,15.720538,6.6415358,2.97,274.414,,,,,,,,,,,
BR,"Broadridge Financial Solutions, Inc.",25.88B,28.31673,23.713367,7.83,132.063,,,,,,,,,,,
BRO,"Brown & Brown, Inc.",26.82B,23.800001,19.202934,3.3,64.746,,,,,,,,,,,
BSX,Boston Scientific Corporation,148.27B,53.48663,35.84946,1.87,50.973,,,,,,,,,,,
BX,Blackstone Inc.,179.55B,42.057636,25.03259,3.47,60.337,,,,,,,,,,,
BXP,"BXP, Inc.",12.80B,,38.695187,-1.28,231.032,,,,,,,,,,,
C,Citigroup Inc.,180.34B,14.155899,14.018081,7.12,,,,,,,,,,,,
CAG,"Conagra Brands, Inc.",8.20B,9.683616,6.371747,1.77,92.867,,,,,,,,,,,
CAH,"Cardinal Health, Inc.",48.39B,30.673193,23.572916,6.64,,,,,,,,,,,,
CARR,Carrier Global Corporation,48.44B,35.94375,18.917763,1.6,83.159,,,,,,,,,,,
CAT,Caterpillar Inc.,263.80B,28.90657,25.422121,19.48,201.046,,,,,,,,,,,
CB,Chubb Limited,113.17B,12.02132,12.17916,23.92,30.958,,,,,,,,,,,
CBOE,"Cboe Global Markets, Inc.",26.85B,27.623251,27.954247,9.29,32.645,,,,,,,,,,,
CBRE,"CBRE Group, Inc.",45.43B,42.87921,25.441666,3.56,104.121,,,,,,,,,,,
CCI,Crown Castle Inc.,38.99B,,33.410446,-9.05,,,,,,,,,,,,
CCL,Carnival Corporation & plc,35.10B,13.77835,15.540697,1.94,233.568,,,,,,,,,,,
CDNS,"Cadence Design Systems, Inc.",88.48B,83.99225,47.452553,3.87,47.685,,,,,,,,,,,
CDW,CDW Corporation,18.55B,18.00885,14.076087,7.91,239.737,,,,,,,,,,,
CEG,Constellation Energy Corporation,111.96B,41.005722,40.04358,8.74,60.212,,,,,,,,,,,
CF,"CF Industries Holdings, Inc.",12.79B,9.918983,13.273463,8.27,44.133,,,,,,,,,,,
CFG,"Citizens Financial Group, Inc.",22.20B,14.481793,13.359174,3.57,,,,,,,,,,,,
CHD,"Church & Dwight Co., Inc.",20.86B,27.40063,23.286863,3.17,56.855,,,,,,,,,,,
CHRW,"C.H. Robinson Worldwide, Inc.",17.65B,30.189901,31.394957,4.95,80.904,,,,,,,,,,,
CHTR,"Charter Communications, Inc.",28.45B,6.09706,6.144774,36.06,497.907,,,,,,,,,,,
CI,The Cigna Group,70.68B,11.707079,8.447637,22.6,81.021,,,,,,,,,,,
CINF,Cincinnati Financial Corporation,25.69B,12.259121,22.461119,13.43,5.732,,,,,,,,,,,
CL,Colgate-Palmolive Company,63.49B,22.061626,20.404146,3.57,680.048,,,,,,,,,,,
CLX,The Clorox Company,13.10B,16.854004,14.727023,6.37,2230.435,,,,,,,,,,,
CMCSA,Comcast Corporation,99.66B,4.5431895,6.2442923,6.02,101.462,,,,,,,,,,,
CME,CME Group Inc.,99.71B,26.81862,26.663452,10.31,13.372,,,,,,,,,,,
CMG,"Chipotle Mexican Grill, Inc.",40.45B,27.070797,23.351147,1.13,154.574,,,,,,,,,,,
CMI,Cummins Inc.,65.34B,24.512688,21.01865,19.31,62.949,,,,,,,,,,,
CMS,CMS Energy Corporation,22.29B,21.103746,20.455309,3.47,191.634,,,,,,,,,,,
CNC,Centene Corporation,18.46B,,5.3352275,-10.67,83.51,,,,,,,,,,,
CNP,"CenterPoint Energy, Inc.",25.73B,24.943037,22.649426,1.58,202.111,,,,,,,,,,,
COF,Capital One Financial Corporation,138.48B,74.595894,13.909324,2.92,,,,,,,,,,,,
COIN,"Coinbase Global, Inc.",83.36B,26.742214,86.59384,11.56,48.559,,,,,,,,,,,
