Symbol,Company,Sector,MarketCap,EnterpriseValue,TrailingPE,ForwardPE,PEGRatio,PriceToBook,PriceToSales,EnterpriseToRevenue,EnterpriseToEBITDA,ROE,ROA,ProfitMargin,GrossMargin,OperatingMargin,EBITDAMargin,RevenueGrowth,EarningsGrowth,QuarterlyEarningsGrowth,revenue,ebitda,net_income,gross_profits,OperatingCashFlow,FreeCashFlow,TotalCash,TotalDebt,CurrentRatio,QuickRatio,DebtToEquity,TrailingEPS,EPS,BookValue,CashPerShare,dividend_yield,DividendRate,PayoutRatio,ExDividendDate,DividendDate,FiveYearAvgDividendYield,SharesOutstanding,FloatShares,SharesShort,ShortRatio,ShortPercentOfFloat,InsiderOwnership,InstitutionalOwnership,CurrentPrice,PreviousClose,Open,DayHigh,DayLow,FiftyTwoWeekHigh,FiftyTwoWeekLow,FiftyDayAverage,TwoHundredDayAverage,Volume,AverageVolume,AverageVolume10Day,Beta,TargetMeanPrice,TargetHighPrice,TargetLowPrice,NumberOfAnalysts,Recommendation,RecommendationMean,LastUpdated
A,"Agilent Technologies, Inc.",Healthcare,39233622016.0,40987410432.0,30.282274,21.092436,,5.8110433,5.6467505,5.899,20.955,0.20618999,0.08485,0.18754,0.52432,0.26384002,0.28152,0.094,0.245,0.236,6947999744.0,1956000000.0,1303000064.0,3643000064.0,1559000064.0,998499968.0,1788999936.0,3543000064.0,1.957,1.442,52.559,4.57,6.56112,23.815,6.31,0.74,1.02,0.2171,1767657600.0,1769558400.0,0.66,283498871.0,282526470.0,3320744.0,1.47,0.013300001,0.00319,0.92427003,138.39,138.32,138.5,138.63,137.87,160.27,96.43,145.084,124.7496,555812,1911506,2086300,1.274,168.29411,185.0,150.0,17.0,buy,1.95,2025-12-27 20:39:32
AAL,American Airlines Group Inc.,Industrials,10191734784.0,38868733952.0,17.747126,8.2428875,,-2.572476,0.18771383,0.716,8.426,,0.02355,0.011089999,0.23728001,0.0127799995,0.084960006,0.003,,,54293999616.0,4613000192.0,602000000.0,12883000320.0,3771000064.0,422500000.0,7386999808.0,36064002048.0,0.538,0.382,,0.87,1.87313,-6.002,11.191,,,0.0,1580774400.0,1582070400.0,1.27,660086495.0,650620855.0,51847312.0,0.92,0.0791,0.01492,0.70478994,15.44,15.68,15.6,15.6199,15.31,19.1,8.5,13.769,12.0744,37453686,59390319,56913420,1.262,15.87391,20.0,10.0,23.0,buy,2.12,2025-12-27 20:39:35
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,2475917568.0,4973917696.0,,15.430714,,1.1275729,0.28708532,0.577,23.231,-0.23868,6.0000002e-05,-0.04369,0.42346,0.02898,0.02483,-0.052,,,8624326656.0,214106000.0,-571955008.0,3652048896.0,-191367008.0,1431015168.0,3174000128.0,5672000000.0,1.729,0.841,258.405,-10.22,2.67324,36.583,52.88,2.42,1.0,1.2658,1767916800.0,1769126400.0,2.83,60022245.0,59769551.0,10451941.0,7.41,0.2701,0.00897,1.21795,41.25,41.12,40.81,41.97,40.49,70.0,28.89,49.4706,49.2654,1466631,1720463,1902240,1.16,53.55,65.0,20.0,20.0,hold,3.07143,2025-12-27 20:39:39
AAPL,Apple Inc.,Technology,4057362333696.0,4097534853120.0,36.648792,29.863201,,54.7786,9.749501,9.846,28.308,1.7142199,0.22964,0.26915002,0.46905,0.31647,0.34782,0.079,0.912,0.864,416161005568.0,144748003328.0,112010002432.0,195201007616.0,111482003456.0,78862254080.0,54697000960.0,112377004032.0,0.893,0.771,152.411,7.46,9.15508,4.991,3.702,0.38,1.04,0.1367,1762732800.0,1762992000.0,0.53,14776353000.0,14750642146.0,122035714.0,2.83,0.0083,0.016970001,0.64405996,273.4,273.81,274.23,275.37,272.87,288.62,169.21,271.5278,230.84265,20979995,46093115,47957170,1.107,287.70682,350.0,215.0,41.0,buy,2.0,2025-12-27 20:39:43
ABBV,AbbVie Inc.,Healthcare,406463086592.0,469684125696.0,175.55725,16.135958,,-153.83278,6.81482,7.875,15.911,1.37961,0.09585,0.04004,0.71461,0.35497,0.49492002,0.091,-0.887,-0.881,59643998208.0,29518999552.0,2348000000.0,42622001152.0,20860000256.0,20799000576.0,5671000064.0,68849000448.0,0.725,0.468,,1.31,14.25264,-1.495,3.209,3.01,6.92,4.9014997,1768521600.0,1771286400.0,3.75,1767384632.0,1763938232.0,18075534.0,3.21,0.010199999,0.00105,0.75209,229.98,229.89,229.82,230.605,228.68,244.81,164.39,226.6852,205.80435,1586808,5936417,5859700,0.349,244.68036,289.0,184.0,28.0,buy,1.86207,2025-12-27 20:39:46
ABNB,"Airbnb, Inc.",Consumer Cyclical,83766083584.0,73554771968.0,32.576195,28.379416,,9.661747,7.0138226,6.159,26.641,0.30776,0.07475,0.2203,0.83036005,0.39683,0.23118,0.097,0.038,0.004,11943000064.0,2760999936.0,2631000064.0,9916999680.0,4585999872.0,3233625088.0,11683999744.0,2278000128.0,1.392,0.845,26.458,4.2,4.8211,14.161,19.269,,,0.0,,,,425294120.0,409522562.0,16947750.0,3.3,0.040700004,0.01496,0.85200995,136.82,136.78,136.695,137.2113,136.15,163.93,99.88,124.6468,126.61355,1628048,4875125,4663520,1.118,140.22571,180.0,102.0,35.0,hold,2.56818,2025-12-27 20:39:48
ABT,Abbott Laboratories,Healthcare,217278889984.0,222632771584.0,15.683416,21.99595,,4.2603145,4.95584,5.078,18.952,0.3062,0.067930005,0.3188,0.56259996,0.19395,0.26793,0.069,0.0,-0.001,43842998272.0,11747000320.0,13925999616.0,24665999360.0,9118999552.0,6067874816.0,7733000192.0,12974999552.0,1.703,1.088,25.31,7.96,5.67559,29.303,4.447,2.02,2.52,0.2915,1768435200.0,1770940800.0,1.72,1738871947.0,1728595214.0,15875548.0,2.33,0.0092,0.00546,0.81421995,124.84,124.81,124.58,125.185,124.26,141.23,110.86,126.3118,130.1,2118157,6367379,6332760,0.714,144.4292,162.0,122.0,25.0,buy,1.71429,2025-12-27 20:39:51
ACGL,Arch Capital Group Ltd.,Financial Services,35780628480.0,34701406208.0,8.985004,10.328304,,1.5320326,1.8308668,1.776,6.924,0.17811,0.03899,0.20959,0.35639,0.30691,0.25646,0.082,0.391,0.366,19542999040.0,5011999744.0,4056000000.0,6965000192.0,6341000192.0,6687499776.0,3475000064.0,2728000000.0,0.564,0.277,11.501,10.67,9.28226,62.577,9.623,,,0.0,1731888000.0,1733270400.0,,362625938.0,350116425.0,6228915.0,3.01,0.0202,0.03186,0.93754,95.87,96.4,96.475,96.64,95.74,97.6,82.45,91.1852,91.2412,1316521,2221725,2664590,0.447,107.26316,135.0,84.0,19.0,buy,2.25,2025-12-27 20:39:55
ACN,Accenture plc,Technology,168113438720.0,166404980736.0,22.422663,18.220642,,5.40429,2.376983,2.353,13.357,0.25016,0.11125,0.107609995,0.31968,0.16974,0.17615,0.06,-0.016,-0.03,70725558272.0,12458010624.0,7611100160.0,22609690624.0,12116009984.0,11122880512.0,9655311360.0,8201998848.0,1.411,1.29,25.694,12.09,14.87818,50.162,15.692,2.41,6.52,0.5017,1768262400.0,1770940800.0,1.47,615435159.0,614236120.0,11696294.0,3.02,0.0212,0.00074,0.82838994,271.09,269.98,269.9,271.61,269.5,398.35,229.4,254.8784,275.4475,1140163,4142087,4177740,1.261,287.9776,330.0,205.0,25.0,buy,2.11538,2025-12-27 20:39:57
ADBE,Adobe Inc.,Technology,150081961984.0,147587596288.0,21.185627,13.437833,,12.693287,6.314189,6.209,15.452,0.55426,0.18221001,0.29997,0.89268,0.36503,0.40183997,0.105,0.172,0.103,23768999936.0,9551333376.0,7129999872.0,21218000896.0,,,6594999808.0,6648000000.0,0.996,0.876,57.197,16.7,26.32865,27.873,15.815,,,0.0,1111622400.0,,0.12,418600000.0,415811550.0,11592689.0,2.54,0.0277,0.00212,0.86054003,353.8,352.98,352.5,356.21,352.2819,465.7,311.59,338.598,363.2464,1438577,3987290,4014080,1.54,430.96472,605.0,270.0,36.0,buy,2.075,2025-12-27 20:40:00
