"Symbol","Company","Sector","MarketCap","EnterpriseValue","TrailingPE","ForwardPE","PEGRatio","PriceToBook","PriceToSales","EnterpriseToRevenue","EnterpriseToEBITDA","ROE","ROA","ProfitMargin","GrossMargin","OperatingMargin","EBITDAMargin","RevenueGrowth","EarningsGrowth","QuarterlyEarningsGrowth","revenue","ebitda","net_income","gross_profits","OperatingCashFlow","FreeCashFlow","TotalCash","TotalDebt","CurrentRatio","QuickRatio","DebtToEquity","TrailingEPS","EPS","BookValue","CashPerShare","dividend_yield","DividendRate","PayoutRatio","ExDividendDate","DividendDate","FiveYearAvgDividendYield","SharesOutstanding","FloatShares","SharesShort","ShortRatio","ShortPercentOfFloat","InsiderOwnership","InstitutionalOwnership","CurrentPrice","PreviousClose","Open","DayHigh","DayLow","FiftyTwoWeekHigh","FiftyTwoWeekLow","FiftyDayAverage","TwoHundredDayAverage","Volume","AverageVolume","AverageVolume10Day","Beta","TargetMeanPrice","TargetHighPrice","TargetLowPrice","NumberOfAnalysts","Recommendation","RecommendationMean","LastUpdated","start_price","end_price","return_45d","vol_45d","avg_volume","vol_spike","n_days","z_return","z_vol","z_volume","anomaly_score","category","market_context"
"A","Agilent Technologies, Inc.","Healthcare",39233622016,40987410432,30.282274,21.092436,NA,5.8110433,5.6467505,5.899,20.955,0.20618999,0.08485,0.18754,0.52432,0.26384002,0.28152,0.094,0.245,0.236,6947999744,1.956e+09,1303000064,3643000064,1559000064,998499968,1788999936,3543000064,1.957,1.442,52.559,4.57,6.56112,23.815,6.31,0.74,1.02,0.2171,1767657600,1769558400,0.66,283498871,282526470,3320744,1.47,0.013300001,0.00319,0.92427003,138.39,138.32,138.5,138.63,137.87,160.27,96.43,145.084,124.7496,555812,1911506,2086300,1.274,168.29411,185,150,17,"buy",1.95,"2025-12-27 20:39:32",144.690002441406,136.660003662109,-5.54979517852233,1.60470830372601,2031712.5,1.96115346044285,32,-0.776575556565745,-0.310077419764836,-0.275531760592656,1.06938014674449,"NORMAL","DOWN_WHILE_MARKET_UP"
"AAL","American Airlines Group Inc.","Industrials",10191734784,38868733952,17.747126,8.2428875,NA,-2.572476,0.18771383,0.716,8.426,NA,0.02355,0.011089999,0.23728001,0.0127799995,0.084960006,0.003,NA,NA,54293999616,4613000192,6.02e+08,12883000320,3771000064,422500000,7386999808,36064002048,0.538,0.382,NA,0.87,1.87313,-6.002,11.191,NA,NA,0,1580774400,1582070400,1.27,660086495,650620855,51847312,0.92,0.0791,0.01492,0.70478994,15.44,15.68,15.6,15.6199,15.31,19.1,8.5,13.769,12.0744,37453686,59390319,56913420,1.262,15.87391,20,10,23,"buy",2.12,"2025-12-27 20:39:35",13.4099998474121,15.0299997329712,12.0805361968124,2.91322133769243,54185241.9354839,1.3915025070807,31,0.968251959011182,1.28653920837339,-0.971799259000357,2.09742119269806,"NORMAL","OUTPERFORMING_MARKET"
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical",2475917568,4973917696,NA,15.430714,NA,1.1275729,0.28708532,0.577,23.231,-0.23868,6.0000002e-05,-0.04369,0.42346,0.02898,0.02483,-0.052,NA,NA,8624326656,214106000,-571955008,3652048896,-191367008,1431015168,3174000128,5.672e+09,1.729,0.841,258.405,-10.22,2.67324,36.583,52.88,2.42,1,1.2658,1767916800,1769126400,2.83,60022245,59769551,10451941,7.41,0.2701,0.00897,1.21795,41.25,41.12,40.81,41.97,40.49,70,28.89,49.4706,49.2654,1466631,1720463,1902240,1.16,53.55,65,20,20,"hold",3.07143,"2025-12-27 20:39:39",47.4099998474121,44.0699996948242,-7.04492757506351,3.25706228356939,1528906.4516129,1.90358278423752,31,-0.924544876561921,1.70608579092277,-0.345898694004321,1.95053711902547,"NORMAL","DOWN_WHILE_MARKET_UP"
"AAPL","Apple Inc.","Technology",4057362333696,4097534853120,36.648792,29.863201,NA,54.7786,9.749501,9.846,28.308,1.7142199,0.22964,0.26915002,0.46905,0.31647,0.34782,0.079,0.912,0.864,416161005568,144748003328,112010002432,195201007616,111482003456,78862254080,54697000960,112377004032,0.893,0.771,152.411,7.46,9.15508,4.991,3.702,0.38,1.04,0.1367,1762732800,1762992000,0.53,14776353000,14750642146,122035714,2.83,0.0083,0.016970001,0.64405996,273.4,273.81,274.23,275.37,272.87,288.62,169.21,271.5278,230.84265,20979995,46093115,47957170,1.107,287.70682,350,215,41,"buy",2,"2025-12-27 20:39:43",269.049987792969,271.839996337891,1.03698519662039,0.931560047957224,44595303.125,1.47068851210998,32,-0.124699230877967,-1.13143698628351,-0.875012548989202,1.12792399851432,"NORMAL","UNDERPERFORMING_MARKET"
"ABBV","AbbVie Inc.","Healthcare",406463086592,469684125696,175.55725,16.135958,NA,-153.83278,6.81482,7.875,15.911,1.37961,0.09585,0.04004,0.71461,0.35497,0.49492002,0.091,-0.887,-0.881,59643998208,29518999552,2.348e+09,42622001152,20860000256,20799000576,5671000064,68849000448,0.725,0.468,NA,1.31,14.25264,-1.495,3.209,3.01,6.92,4.9014997,1768521600,1771286400,3.75,1767384632,1763938232,18075534,3.21,0.010199999,0.00105,0.75209,229.98,229.89,229.82,230.605,228.68,244.81,164.39,226.6852,205.80435,1586808,5936417,5859700,0.349,244.68036,289,184,28,"buy",1.86207,"2025-12-27 20:39:46",211.960006713867,224.309997558594,5.82656654724434,1.57968348089094,5839762.5,1.75108148661868,32,0.349313035298404,-0.34061211618553,-0.532296515986893,0.785767351384616,"NORMAL","OUTPERFORMING_MARKET"
"ABNB","Airbnb, Inc.","Consumer Cyclical",83766083584,73554771968,32.576195,28.379416,NA,9.661747,7.0138226,6.159,26.641,0.30776,0.07475,0.2203,0.83036005,0.39683,0.23118,0.097,0.038,0.004,11943000064,2760999936,2631000064,9916999680,4585999872,3233625088,11683999744,2278000128,1.392,0.845,26.458,4.2,4.8211,14.161,19.269,NA,NA,0,NA,NA,NA,425294120,409522562,16947750,3.3,0.040700004,0.01496,0.85200995,136.82,136.78,136.695,137.2113,136.15,163.93,99.88,124.6468,126.61355,1628048,4875125,4663520,1.118,140.22571,180,102,35,"hold",2.56818,"2025-12-27 20:39:48",126.800003051758,133.779998779297,5.50472835926499,1.80180246697041,5399734.375,2.17714413035363,32,0.317461556503433,-0.0695877875056071,-0.0115327581674383,0.358021829339955,"NORMAL","OUTPERFORMING_MARKET"
"ABT","Abbott Laboratories","Healthcare",217278889984,222632771584,15.683416,21.99595,NA,4.2603145,4.95584,5.078,18.952,0.3062,0.067930005,0.3188,0.56259996,0.19395,0.26793,0.069,0,-0.001,43842998272,11747000320,13925999616,24665999360,9118999552,6067874816,7733000192,12974999552,1.703,1.088,25.31,7.96,5.67559,29.303,4.447,2.02,2.52,0.2915,1768435200,1770940800,1.72,1738871947,1728595214,15875548,2.33,0.0092,0.00546,0.81421995,124.84,124.81,124.58,125.185,124.26,141.23,110.86,126.3118,130.1,2118157,6367379,6332760,0.714,144.4292,162,122,25,"buy",1.71429,"2025-12-27 20:39:51",123.839996337891,126.709999084473,2.31750874632728,1.32275711292577,6336193.75,2.21604650268152,32,0.0020308161249305,-0.654107588261111,0.0360164600037829,0.347092840257378,"NORMAL","IN_LINE"
"ACGL","Arch Capital Group Ltd.","Financial Services",35780628480,34701406208,8.985004,10.328304,NA,1.5320326,1.8308668,1.776,6.924,0.17811,0.03899,0.20959,0.35639,0.30691,0.25646,0.082,0.391,0.366,19542999040,5011999744,4.056e+09,6965000192,6341000192,6687499776,3475000064,2.728e+09,0.564,0.277,11.501,10.67,9.28226,62.577,9.623,NA,NA,0,1731888000,1733270400,NA,362625938,350116425,6228915,3.01,0.0202,0.03186,0.93754,95.87,96.4,96.475,96.64,95.74,97.6,82.45,91.1852,91.2412,1316521,2221725,2664590,0.447,107.26316,135,84,19,"buy",2.25,"2025-12-27 20:39:55",86,95.8899993896484,11.4999992902888,0.910455796045462,2189840.625,1.64468590037232,32,0.910797748608347,-1.15718789487369,-0.66234069170563,1.82056204189801,"NORMAL","OUTPERFORMING_MARKET"
"ACN","Accenture plc","Technology",168113438720,166404980736,22.422663,18.220642,NA,5.40429,2.376983,2.353,13.357,0.25016,0.11125,0.107609995,0.31968,0.16974,0.17615,0.06,-0.016,-0.03,70725558272,12458010624,7611100160,22609690624,12116009984,11122880512,9655311360,8201998848,1.411,1.29,25.694,12.09,14.87818,50.162,15.692,2.41,6.52,0.5017,1768262400,1770940800,1.47,615435159,614236120,11696294,3.02,0.0212,0.00074,0.82838994,271.09,269.98,269.9,271.61,269.5,398.35,229.4,254.8784,275.4475,1140163,4142087,4177740,1.261,287.9776,330,205,25,"buy",2.11538,"2025-12-27 20:39:57",248.440002441406,273.739990234375,10.1835403092688,1.81618072484028,3872459.375,1.79779807244589,32,0.780511266504806,-0.0520437776235535,-0.475196215959166,1.04413126329617,"NORMAL","OUTPERFORMING_MARKET"
"ADBE","Adobe Inc.","Technology",150081961984,147587596288,21.185627,13.437833,NA,12.693287,6.314189,6.209,15.452,0.55426,0.18221001,0.29997,0.89268,0.36503,0.40183997,0.105,0.172,0.103,23768999936,9551333376,7129999872,21218000896,NA,NA,6594999808,6.648e+09,0.996,0.876,57.197,16.7,26.32865,27.873,15.815,NA,NA,0,1111622400,NA,0.12,418600000,415811550,11592689,2.54,0.0277,0.00212,0.86054003,353.8,352.98,352.5,356.21,352.2819,465.7,311.59,338.598,363.2464,1438577,3987290,4014080,1.54,430.96472,605,270,36,"buy",2.075,"2025-12-27 20:40:00",337.470001220703,354.660003662109,5.09378681933979,1.72389465994646,4154696.875,2.44511219606123,32,0.276791753373233,-0.164649049355753,0.315996676589366,0.517114616345792,"NORMAL","OUTPERFORMING_MARKET"
